val,name,address1,latitude,longitude,city,state,pincode,phone,storeUrl,open_time(AM),close_time(PM)
12403,Café Coffee Day - Rajouri Garden,"Building No 13/57, J Block
 Rajouri Garden
",28.6397488,77.1181652,Delhi,Delhi,110027,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/delhi-4,09:00:00,09:30:00
12401,Café Coffee Day - Vishal Enclave,"24
 Block A, Vishal Enclave, Rajouri Garden
",28.6489842,77.12184,Delhi,Delhi,110027,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/delhi-3,10:00:00,09:30:00
12396,Café Coffee Day - Janakpuri,"Block B 2B/14, Janakpuri
 ",28.63344,77.94284,Delhi,Delhi,110058,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/delhi-2,09:00:00,11:00:00
12394,Café Coffee Day - Mandi House,"Shop No 49, Plot 7, Block 205 C, Tansen Marg
 Next to Annakoot, Mandi House

",28.6294921,77.232787,New delhi,Delhi,110001,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/new-delhi-0,09:00:00,10:00:00
12390,Café Coffee Day - Lajpath Nagar,"A-10, Lajpath Nagar Part-2 ",28.569843,77.238611,Delhi,Delhi,110024,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/delhi-1,09:00:00,11:00:00
12388,Café Coffee Day - New Friends Colony,"14, Community Center, Ground Floor
 New Friends Colony
",28.562661,77.2689677,Delhi,Delhi,110065,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/delhi-0,09:00:00,11:30:00
12318,Café Coffee Day - Janakpuri,"C3-78, Major P Srikumar Marg
 Block C3A, Block C3, Janakpuri",28.615781,77.879554,Delhi,Delhi,110058,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/delhi/janakpuri/janakpuri-0,09:00:00,11:00:00
12306, Café Coffee Day - Janak Cinema,"C Block, Janakpuri, Near Mata Chandan Devi Hospital C Block, Janakpuri, Near Mata Chandan Devi Hospital",28.610926,77.0916334,Delhi,Delhi,110059,,https://www.cafecoffeeday.com/store-locator/delhi/delhi/janak-cinema,10:00:00,11:00:00
12301,Café Coffee Day - Dlf Sarojini Nagar Delhi,Dlf Sarojini Nagar Delhi Dlf Sarojini Nagar Delhi,28.5763,77.1951,Delhi,Delhi,110023,,https://www.cafecoffeeday.com/store-locator/delhi/delhi/dlf-sarojini-nagar-delhi,10:00:00,10:00:00
12300,Café Coffee Day - Bengali Market Delhi,Bengali Market Delhi Bengali Market Delhi,28.6295,77.2322,Delhi,Delhi,110001,,https://www.cafecoffeeday.com/store-locator/delhi/delhi/bengali-market-delhi,09:00:00,11:00:00
12244,Café Coffee Day - Shopper Stop Rohini,"FFF Crown Plaza, Plot Number 3B1
 Bhagawan Mahavir Marg, Sector 10, Rohini

",28.719748,77.19988,New delhi,Delhi,110085,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/new-delhi/shopper-stop-rohini,11:00:00,09:30:00
12288,Café Coffee Day - Kamlanagar Building No 26b1 & 27 A1 Del,"Building No 26B/1 & 27 A/1
 Jawahar Nagar, Kamla Nagar",28.679952,77.28535,Delhi,Delhi,110010,1800 102 5093,https://www.cafecoffeeday.com/store-locator/delhi/delhi/kamlanagar,10:00:00,09:30:00
12270,Café Coffee Day - Pod Food Court Dhaula Kuan Metro Stn,Pod Food Court Dhaula Kuan Metro Stn ,49.29,84.0,Delhi,Delhi,110007,,https://www.cafecoffeeday.com/store-locator/delhi/delhi/pod-food-court,11:00:00,01:00:00
